岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
数据标注专员-T序列-AI语音技术提效工程师（预训练方向）,中电金信软件有限公司,1-2万,北京·海淀·海淀街道,1-3年,本科,ETL,数据仓库,Python,优选雇主,职位描述 岗位职责： 1、结合大模型研发需求，搭建音视频数据持续收集机制。 2、负责数据清洗、去重、格式转换、隐私脱敏及风险分流，封装为训练集格式并沉淀统一接入方案。 3、持续拓展数据渠道、优化处理链路，提升预训练数据规模与多样性，配合研发团队响应数据需求、解决相关问题。 4、跟踪Al领域前沿技术（如多模态、Agent框架、Harness Engineering)，探索前沿技术在复杂任务中的应用。 岗位要求: 1、计算机、数据科学、电子信息及相关专业本科及以上学历，良好的沟通和团队协作能力； 2、2年以上工程研发经验，熟练掌握Python、Golang等至少一种开发语言，python优先，音视频经验优先 3、熟练掌握Prompt设计技巧，了解语音处理技术或NLP基础算法。 4、熟悉数据仓库操作(HSQL)和数据分析工具（Pandas、Tableau）。
爬虫工程师（音视频数据方向）——AI大厂,外企德科,1.5-2.5万·15薪,北京·海淀·海淀街道,1-3年,本科,Python,数据清洗,Scrapy,,职位描述 工作职责：1. 负责互联网音频、视频平台的数据采集，包括节目/专辑/视频元数据、评论、播放数据等信息的抓取与结构化整理。2. 设计并实现稳定高效的音视频爬虫系统，支持大规模、多站点的持续采集与更新。3. 针对主流音视频平台的反爬机制（登录态校验、频控、滑块验证码、JS 加密、动态接口、加密链接等）进行分析与对抗，持续提升成功率与稳定性。4. 参与音视频资源解析相关工作，如播放地址/m3u8/DASH 等协议分析、加密参数解析、接口抓包与协议还原（仅用于合法合规场景）。5. 搭建数据采集监控体系，包含任务调度、失败重试、数据质量监控、告警与日志分析。6. 持续优化爬虫框架与采集策略，提升抓取效率、降低带宽与存储开销。7. 与产品、算法、数据、内容运营等团队配合，根据业务需求设计数据采集方案，为推荐、内容分析、风控等场景提供数据支持。8. 编写和维护相关技术文档、开发规范，参与爬虫平台的架构演进。任职要求：1. 本科及以上学历，计算机相关专业优先，具备 1 年及以上互联网爬虫或数据采集相关经验（优秀者可适当放宽）。2. 精通 Python，熟悉 Scrapy、Requests、Playwright、Selenium 等至少一种爬虫/自动化框架，有实际项目经验。3. 深刻理解 HTTP/HTTPS 协议和浏览器工作机制，熟练使用抓包工具（如 Charles、Fiddler、Wireshark、Chrome DevTools 等）进行接口分析与问题排查。4. 有针对主流网站或 APP 的反爬对抗经验，熟悉登录维持、Cookie/Token 管理、代理池、UA 伪装、JS 逆向、加密参数还原等技术手段。5. 对音视频播放相关协议和格式有一定了解，例如：* 常见音视频封装格式与编码（MP4、FLV、HLS/m3u8、DASH 等）；* 简单理解 CDN、分片下载、防盗链等机制者优先。6. 熟悉常见存储与缓存，如 MySQL、Redis、MongoDB、Elasticsearch 等，了解基本的数据清洗、去重和索引优化。加分项：* 有自研或主导搭建过大规模分布式爬虫/采集平台的经验；* 有面向音视频内容的搜索、推荐、内容理解、版权分析等相关项目经验；* 熟悉 Linux 环境，能够进行基础运维与部署，有 Docker/Kubernetes 经验者优先；* 在 GitHub、技术博客、社区有技术输出或开源项目经历。
字节 AI数据采集（双休包三餐）,江苏成功企业管理有限公司苏州分公司,1-1.4万,北京·海淀·中关村,1-3年,本科,可视化,Python,传感器,,职位描述 一线互联网大厂，接受无经验，提供带薪培训，入职五险一金，周末双休，提供免费三餐，无限量下午茶~职位描述：1.负责深度学习算法的数据采集和整理，推动问题及时合理解决；2.负责据采集工作，之前有传感器采集经验最好；3.负责数据场景的采集和可视化工作；4.辅助常规的数据测试和采集监督工作职位要求： 1.本科以上优先，对数据敏感；2.吃苦耐劳，对数据采集工作有较好的理解和兴趣，有一定的抗压能力；3.逻辑思维较好，熟悉计算机基础操作4.有AI数据采集方面相关工作经验者优先；5.有python等脚本编程能力者优先
高薪AI软件销售+提供资源+不加班,北京同创蓝天云科技有限公司,7000-14000元,北京·丰台·丰台街道,经验不限,,企业客户,个人客户,民营,,职位描述 欢迎小伙伴们投递简历或来电咨询！您只需要年龄在20-35岁之间、会电脑简单操作、口齿清晰、语言表达能力强、能说话、敢说话、有强烈的挣钱欲望，就可以加入我们的团队。【商企数字化转型宣传获客必备】公司旗下自主研发酷雷曼VR全景AI智能数字化升级营销平台×云微客GEO（AI搜索优化/AI搜索推荐）优化系统，无需专业技能，普通人也能轻松上手。依托AI搜索优化与推荐技术，精准抢占流量入口，将宣传展示内容推送给目标客群。同时沉浸式VR全景体验加深品牌认知，实现从获客到留存转化的高效闭环，助力商企品牌价值提升与业绩增长。咱们客户大致分两类:第一类是终端客户，就是急需给自己做VR全景及AI营销拓客的，公司拥有全行业落地方案及实际案例，大到政企小到衣食住行商户，适用于各行业领域；第二种是合作客户，一是手握市场资源但技术支撑不足的公司机构，二是渴望通过副业创业实现自我价值的个人。公司提供全程陪跑式帮扶、技术及商业落地模式，无需开店及团队，轻资产抢占互联网风口项目。【提供准意向客户】不需要自己找客户，公司网络营销部在各大平台投放的广告，各种推广渠道都有，客户源源不断。成单率高，轻松月薪上万。【工作内容简单】以电话、网络等形式与客户沟通，解答咨询问题定制方案，邀约客户到公司面谈成交或线上成交。【没有经验有人带】销售岗无需相关行业经验及专业技术知识，但要沟通能力好，思维活跃，能抗压，有一定的社会阅历！入职有带薪培训、有人带，全程有领导帮扶，两三天即可上手与客户沟通。公司提供的客户资源都是通过广告推广来的感兴趣的意向客户，自己在努力些，一般两三周就可以开单。【薪资待遇很靠前】1. 综合底薪8000+，提成5%-13% ，另加奖金。2. 不定时安排聚餐、k歌、拓展、旅游等娱乐，有带薪法定假期、超长春节假期等。【工作轻松不加班】朝九晚六，中午休息一个半个小时。【办公环境高大上】公司提供电脑、电话，无外出，环境好。
Ai直播居家每天2小时日收入破千,安徽晓聚文化传媒有限公司,2.5-5万·13薪,北京·东城·东华门,经验不限,,居家直播,抖音,民营,,职位描述 没有经验，小白都可以。在家躺着都能赚钱。1免费培训：免费在线培训。2直播平台：抖音3.工作地点：不限制地区。在自己家里直播。4工资发放：主播每天自提。5礼物提成：45%6休息时间：自由安排7直播内容：聊天，唠嗑，开玩笑，吹牛，互动小游戏等，不要求直播经验和才艺。有才艺更好任职要求：形象气质佳（不要害怕自己不好看，美颜比你想象的强大）活泼，开朗，喜欢聊天，（不会说话的，我们也教，放心我们大把讲师授课）配合公司完成专业培训指导（所有培训都是免费的）福利待遇高服务，我们培训人员每天轮流值班，全天24小时在线，帮助主播发现问题。即时调整。迅速帮助主播做起来。
AI搜索方向_业务研发工程师-实习JD,北京三快在线科技有限公司,面议,北京·朝阳·大屯,经验不限,本科,上市公司,10000人以上,互联网生活服务(O2O),最佳雇主,职位描述 基础研发平台是美团的核心技术平台，立足于“零售+科技”的战略定位，通过打造人工智能、大数据、云计算、安全等核心技术能力，以及研发效能平台、企业应用平台等公共服务，为业务提供稳定安全、扩展易用、技术领先的平台技术和产品服务。在这里，我们会参与到最前沿的技术研发和探索；能够接触超规模集群、海量数据，挑战高复杂业务场景，有机会与业界一流的工程师一起并肩前行。在这里，我们有超强的技术氛围，持续向社区贡献业界实践，加速行业技术发展；我们有完善的互联网学习生态圈，重视底层逻辑和方法论，助力职业生涯的非线性成长。真诚地邀请你，和我们一起驱动技术发展，创造行业价值。岗位职责1.AI通用搜索建设​：主导或参与企业级AI搜索系统的需求分析、架构设计与核心模块开发，涵盖智能体搭建、搜索引擎优化等场景，推动AI技术在搜索场景的工程化落地。2.AI Agent基础设施建设：包括但不限于DeepSearch和DeepResearch场景下的工程框架选型、代码开发，Response API建设等，加速模型与产品迭代效率。3.​核心模块开发​：探索LLM与搜索/RAG（检索增强生成）的结合，优化查询理解、结果排序等关键环节，使用大模型技术提升搜索结果的准确性及交互体验。4.性能优化与稳定性保障​：持续优化搜索系统的响应速度、高并发处理能力及容错机制，确保系统在高负载场景下的稳定运行。5.跨团队协作​：与算法、产品及其他工程团队紧密配合，完成需求拆解、技术方案对齐及效果验证，推动技术成果向业务价值转化。岗位基本需求1. 具备扎实的计算机基础，能够在Mentor的指导下完成功能模块的交付。2. 熟练使用常用研发工具，包括但不限于依赖管理打包管理工具Maven、版本控制工具Git等。3. 扎实的编程能力，熟练掌握Python、Java、C++等至少一种编程语言，拥有在这些语言下参与过实际项目开发的经历和技能更佳。4. 具备优秀的沟通能力和团队合作能力，能够与团队内人员进行快速高效的协作沟通。具备以下者优先1. 有搜索推荐系统、对话机器人（如智能客服）等开发经验，熟悉LangChain、LangGraph、LlamaIndex、MCP等Agent开发相关概念、框架。2. 做事有责任感和主动性，面对复杂问题，能清晰表述遇到的问题并能找到对应的人协助解决问题，最终达成目标。岗位亮点1. 前沿技术：参与AI搜索业务的研发工作，具有很高的技术挑战性和发展空间。2. 成长空间：丰富的学习交流机会，与优秀的工程师团队共同成长。3. 职业发展：薪资福利丰厚，公司前景良好，提供良好的职业发展机会。4. 工作环境：灵活开放的工作氛围，支持创新和试验的团队文化。
数字化研发工程师（AI、大数据方向）,国中康健(北京)供应链管理有限公司,1.8-2.5万,北京·丰台·看丹,3-5年,本科,大数据开发,AI,AI AGENT 开发,,职位描述 岗位职责： 1.统筹公司整体技术研发规划，制定研发方向与阶段性目标，对齐公司业务发展需求； 2.负责公司体检，云平台、物资等数字化研发相关项目的立项、进度跟踪、成本管控及质量验收，确保项目按计划交付。 3.跟踪AI、云计算、大数据等前沿技术动态，评估新技术在业务场景的应用价值，推动技术创新与落地，构建公司技术竞争优势； 4.主导系统架构顶层设计与优化，解决大规模分布式系统、高并发场景下的技术瓶颈，保障系统高可用、高安全、高可扩展； 5.协调研发、产品、运营等跨部门资源，建立高效协作机制，将业务需求转化为技术方案，推动技术成果转化为商业价值； 6.建立研发过程数字化规范，指导研发人员规范使用数字化工具，确保流程执行的一致性和合规性。 7.建立技术质量与风险管控体系，制定研发规范与安全准则，提前识别并规避技术风险，保障业务稳定运行。 8.完成领导交办的其他工作。 任职要求： 1.政治面貌：中共党员优先 2.学历：本科及以上学历 3.专业：计算机科学与技术、软件工程、通信工程、网络工程、物联网工程、数据科学与大数据技术等相关专业 4.工作经历：4年以上研发团队管理经验 ，医疗健康、健康管理相关经验优先。 5.技能要求：精通至少要一种主流技术栈（如Java/Python/云原生），具备复杂系统架构设计经验 6.素质要求：兼具扎实技术硬实力与高效管理软实力，同时具备衔接技术与商业的战略思维，并拥有领导力、持续学习力、抗压担当与诚信等职业素养，以支撑技术决策、团队驱动与公司长远发展。
AI Agent 应用开发工程师,浪潮集团,1-2万,北京·海淀,1-3年,本科,国企,10000人以上,软件/IT服务,最佳雇主,职位描述 岗位职责:1.结合业务需求，负责研发高效可靠的Agent开发引擎，以支持多样化的AI创新应用场景;2.设计开发agent运行时服务，支撑Agent服务高效运行、任务调度、状态监控，以及跨系统Agent高性能通信等;3.设计开发上下文感知引擎，实现AI对环境、场景及用户操作的精准感知和用户意图识别;4.开发核心系统Agent(Browser Use Agent和GUI Agent)，支持AI Agent应用开发和优化，满足性能、安全性和可扩展性的需求;5.持续关注业界最新技术动态和发展趋势，探索新技术在产品中的应用可能性。职位要求:1.计算机科学或相关领域的本科及以上学历优先;2年以上AI agent或大模型相关落地经验优先;2.熟悉至少一种主流编程语言(如Python，Java，TypeScript等)，并有良好的编码习惯和工程素养优先:3.系统级开发能力，熟悉常用的设计模式与多线程并发编程。有高性能通信、系统服务开发经验。熟悉Android系统开发和底层机制(Binder/Intent/AMS等)优先;4.精通AI技术栈，熟悉常见Agent开发框架优先(LangChain、AgentScope等)；熟悉RAG等技术优先；理解MCP/Skills/A2A原理和机制优先；5.优秀的团队协作与沟通能力，强自驱力，具备责任心和抗压能力优先。6.加分项:拥有开源项目贡献经历或者个人开源的AI Agent相关作品优先;工作中善用AI编程工具提高效率优先。
AI应用工程师-森特环科,森特士兴,1-2万,北京·通州·马驹桥,3-5年,本科,上市公司,1000-9999人,装饰装修,优选雇主,职位描述 岗位职责：1、AI应用与业务落地-- 负责AI技术在业务系统中的工程化落地，通过调用或集成成熟的AI模型解决实际业务问题。-- 参与数据处理与特征提取，将AI能力封装为稳定可靠的服务接口，打通模型到业务的全链路。2、服务端与物联网系统开发-- 主导物联网（IoT）平台或业务系统的后端研发，基于Java技术栈完成核心模块的设计与编码。-- 负责线上服务的运维管理、第三方系统对接及问题排查。-- 梳理与输出过程文档（需求文档、设计文档、接口文档、测试报告等），确保知识沉淀。3、项目与风险管理-- 推进研发项目进度，攻克AI模型集成与系统高并发处理中的工程化技术难题。-- 定位并解决系统在商用化过程中的功能、性能及可靠性瓶颈。4、技术探索与创新-- 持续跟踪AI应用开发层面的前沿技术（如大模型调用、RAG等），探索其在物联网及行业业务中的落地场景。任职要求：1、教育与经验：-- 本科及以上学历，计算机、软件工程、自动化或相关专业。-- 5年以上后端开发经验，具备物联网（IoT）系统建设及架构设计经验。2、专业技能：-- 以 Java 技术栈为主，精通主流微服务框架及后端组件；具备扎实的系统架构和业务建模能力。-- 以 Python 或 C++ 为辅，了解基本的算法概念与逻辑，能够熟练使用开源库加载、部署和调用成熟的AI模型。-- 熟练操作 Linux 环境，具备 Docker/Kubernetes 等容器化部署经验，熟悉关系型与非关系型数据库。3、加分项：-- 熟悉工业现场通信协议（如 MQTT、OPC UA、Modbus），有边缘计算或边缘AI硬件对接经验。-- 具备AI应用层开发经验（如熟悉大模型API接入、Prompt工程等）。-- 具备强烈的自驱力与责任心，拥有出色的结构化思维、学习能力及团队协作精神。-- 有相关的行业应用经验。
大模型数据交付专家（图片生成）-AI数据与安全,字节跳动,2-4万,北京,1-3年,本科,民营,10000人以上,产业互联网平台,最佳雇主,职位描述 岗位职责：1、负责图片生成模型数据生产项目（包括但不限于标注、构造、采集等）的交付工作，制定可执行的项目交付计划和质量控制体系并落实，确保数据高质量交付；2、深入理解业务场景、市场动态和多模态大模型技术趋势，牵引数据团队和算法、产品团队的深度融合，共同制定数据策略、生产规范与交付标准；3、能够根据业务需求合理使用数据生产方法，包括模型、代码自动化或人工方式，能够挖掘、组织、管理众包、外包人员，充分发挥团队成员的专业优势，提升团队整体工作效率。任职要求：1、本科及以上学历，机器学习、计算机视觉、设计、影视等相关专业优先；2、1年以上大模型领域相关工作经验，熟悉数据生产全流程；有良好的逻辑、画面想象力和文字鉴赏力，在物理常识/现代科技/人文历史/艺术创作中至少有一方面有深入思考实践；3、对AI有热情，熟练使用市面上的大模型（包括LLM和多模态），在Prompt Engineering、Context Engineering、Agent等技术的使用上有落地成果和心得；4、具备多线程处理问题的能力，能够熟练运用项目管理工具和方法；有良好的数据分析能力，能够从数据中洞察并提取有价值的业务信息；有代码能力者优先；5、有较强的自驱力、和学习能力，具备优秀的沟通协调能力及团队合作精神。
